date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:34	327/327	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Sep%202017%2007:00:30%20GMT	http://www.istevitu.in/robots.txt		(from )
12:30:34	59882/59882	---M-Z	200	added ('OK')	text/html	etag:%224f40a9a-e9ea-54e3943668eb4-gzip%22	http://www.istevitu.in/	C:/My%20Web%20Sites/istu/www.istevitu.in/index.html	(from )
12:30:34	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Sep%202017%2007:00:31%20GMT	http://www.istevitu.in/dcodes/menus/dock/css/dc_dock_menu.css	C:/My%20Web%20Sites/istu/www.istevitu.in/dcodes/menus/dock/css/dc_dock_menu.css	(from http://www.istevitu.in/)
12:30:34	337/337	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Sep%202017%2007:00:31%20GMT	http://www.istevitu.in/dcodes/jquery.min.js	C:/My%20Web%20Sites/istu/www.istevitu.in/dcodes/jquery.min.js	(from http://www.istevitu.in/)
12:30:35	358/358	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Sep%202017%2007:00:32%20GMT	http://www.istevitu.in/dcodes/menus/dock/js/fisheye-iutil.min.js	C:/My%20Web%20Sites/istu/www.istevitu.in/dcodes/menus/dock/js/fisheye-iutil.min.js	(from http://www.istevitu.in/)
12:30:35	353/353	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Sep%202017%2007:00:32%20GMT	http://www.istevitu.in/dcodes/menus/dock/js/dc_dock_menu.js	C:/My%20Web%20Sites/istu/www.istevitu.in/dcodes/menus/dock/js/dc_dock_menu.js	(from http://www.istevitu.in/)
12:30:36	693/693	---M-Z	200	added ('OK')	text/css	date:Thu,%2022%20Nov%202012%2015:32:52%20GMT	http://cdn.dcodes.net/2/menus/dock/css/dc_dock_menu.css	C:/My%20Web%20Sites/istu/cdn.dcodes.net/2/menus/dock/css/dc_dock_menu.css	(from http://www.istevitu.in/)
12:30:37	94840/94840	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2004%20Sep%202012%2023:00:00%20GMT	http://cdn.dcodes.net/2/jquery.min.js	C:/My%20Web%20Sites/istu/cdn.dcodes.net/2/jquery.min.js	(from http://www.istevitu.in/)
12:30:37	7471/7471	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2004%20Sep%202012%2023:00:00%20GMT	http://cdn.dcodes.net/2/menus/dock/js/fisheye-iutil.min.js	C:/My%20Web%20Sites/istu/cdn.dcodes.net/2/menus/dock/js/fisheye-iutil.min.js	(from http://www.istevitu.in/)
12:30:37	406/406	---M--	200	added ('OK')	text/css	etag:%224f4094c-196-54b384dbc6f80%22	http://www.istevitu.in/css/style.css	C:/My%20Web%20Sites/istu/www.istevitu.in/css/style.css	(from http://www.istevitu.in/)
12:30:38	328/328	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Sep%202017%2007:00:35%20GMT	http://www.istevitu.in/favicon.ico	C:/My%20Web%20Sites/istu/www.istevitu.in/favicon.ico	(from http://www.istevitu.in/)
12:30:38	12756/12756	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2004%20Sep%202012%2023:00:00%20GMT	http://cdn.dcodes.net/2/menus/dock/js/dc_dock_menu.js	C:/My%20Web%20Sites/istu/cdn.dcodes.net/2/menus/dock/js/dc_dock_menu.js	(from http://www.istevitu.in/)
12:30:38	1825/1825	---M--	200	added ('OK')	text/css	etag:%224f4094a-721-4fda2f7dfa100%22	http://www.istevitu.in/css/normalize.css	C:/My%20Web%20Sites/istu/www.istevitu.in/css/normalize.css	(from http://www.istevitu.in/)
12:30:40	4731/4731	---M--	200	added ('OK')	text/css	etag:%224f40949-127b-54b0cba5e8280%22	http://www.istevitu.in/css/demo.css	C:/My%20Web%20Sites/istu/www.istevitu.in/css/demo.css	(from http://www.istevitu.in/)
